Reference;Advisliste;Afsender;Posteringstype;match_regel;Beløb1;Beløb2;beløb_regel;Posteringstekst;Artskonto;PSP-element;SIO;Notat
5386888 192046;null;null;null;Indeholder;null;null;null;DK5386888 192046 Hornbæk Skole. Lejrskole 8.x og 8.y til Køb;79000000;XG-0000002452-00020;null;null
5386888 192104;null;null;null;Indeholder;null;null;null;DK5386888 192104 - Hornbæk skole skolefest;79000000;XG-0000002452-00024;null;null
5386888 192411;null;null;null;Indeholder;null;null;null;DK5386888 192411 Hornbæk,Lejrskole for 9.x og 9.y til Københ;79000000;XG-0000002452-00020;null;null
5386888 192715;null;null;null;Indeholder;null;null;null;DK5386888 192715 Hornbæk-Tur til Nordtyskland for 8. årgang;79000000;XG-0000002452-00020;null;null
5386888 192764;null;null;null;Indeholder;null;null;null;DK5386888 192764 Honbæk skole, Lejrtur for 8. årgang til KBH;79000000;XG-0000002452-00020;null;null
5386888 192789;null;null;null;Indeholder;null;null;null;DK5386888 192789 Hornbæk Skole, Lejrtur 6. årgang;79000000;XG-0000002452-00020;null;null
5386888 153001;null;null;null;Indeholder;null;null;null;DK5386888 2113400 Hobrovejens Skole. Lejrskole for 6. årgang;79000000;XG-0000002439-00022;null;null
5386888 211363;null;null;null;Indeholder;null;null;null;DK5386888 211363 Rismølleskolen 8.årgang studietur KBH;79000000;XG-0000002521-00030;null;null
5386888 191686;null;null;null;Indeholder;null;null;null;DK5386888 2114410 Hornbæk lejrskole Bornholm;79000000;XG-0000002452-00020;null;null
5386888 132419;null;null;null;Indeholder;null;null;null;DK5386888 2115023 Korshøjskolen Skolefest B-skolen;79000000;XG-0000002465-00024;null;null
5386888 2125038;null;null;null;Indeholder;null;null;null;DK5386888 2125038 9. Årgang til Berlin på Tirsdalens Skole;79000000;XG-0000002544-00024;null;null
5386888 222815;null;null;null;Indeholder;null;null;null;DK5386888 222815 Søndermarkskolen Lejrtur Kattegat;79000000;XG-0000002531-00015;null;null
